Project_ID,Project_Name,Site_Location,Contractor_Name,Supplier_Name,Material_Category,Material_Description,PO_Number,PO_Date,Requested_Date,Delivery_Date,Quantity,Unit_Cost,Total_Cost,Budgeted_Cost,Cost_Variance,Cost_Variance_Pct,Currency,Lead_Time_Days,Risk_Level,Buyer
PRJ1919,Commercial Complex B,Heraklion,Helios Civil Works,Omega HVAC Equipment,Plumbing,Valves,PO200017,2023-05-11,2023-04-28,2023-07-31,259,35.2,9116.8,8116.91,999.89,12.32,EUR,94,High,Buyer D
PRJ1419,Office Building F,Athens,Delta Infrastructure Services,Atlas Safety Equipment,Concrete,Cement bags,PO200018,2024-10-23,2024-10-16,2024-12-29,329,164.39,54084.31,53623.13,461.18,0.86,EUR,74,Medium,Buyer B
PRJ1918,Industrial Warehouse D,Larissa,Atlas Engineering Contractors,Alpha Cement Supplies,HVAC,Air handling units,PO200019,2023-11-05,2023-10-25,2024-01-23,418,1071.24,447778.32,480168.9,-32390.58,-6.75,EUR,90,Medium,Buyer B
PRJ1574,Industrial Warehouse D,Athens,Delta Infrastructure Services,Beta Steel Trading,Plumbing,PVC pipes,PO200020,2023-12-10,2023-12-05,2024-01-13,213,75.15,16006.95,16649.27,-642.32,-3.86,EUR,39,Low,Buyer B
PRJ1023,Residential Tower A,Athens,Apex Construction Group,Alpha Cement Supplies,Logistics,Site delivery service,PO200021,2024-05-06,2024-04-27,2024-07-21,104,949.83,98782.32,92896.21,5886.11,6.34,EUR,85,Medium,Buyer C
PRJ1579,Hotel Renovation C,Thessaloniki,Orion Build Partners,Nordic Timber Solutions,Steel,Metal frames,PO200022,2024-02-18,2024-01-26,2024-05-10,104,1195.41,124322.64,55349.67,68972.97,124.61,EUR,105,High,Buyer A
PRJ1951,Residential Tower A,Volos,Orion Build Partners,Atlas Safety Equipment,Concrete,Cement bags,PO200023,2024-01-21,2024-01-15,2024-02-21,157,64.32,10098.24,9336.29,761.95,8.16,EUR,37,Medium,Buyer B
PRJ1216,Industrial Warehouse D,Larissa,Delta Infrastructure Services,Omega HVAC Equipment,HVAC,HVAC filters,PO200024,2023-07-11,2023-07-08,2023-09-27,118,3019.04,356246.72,393273.47,-37026.75,-9.42,EUR,81,Medium,Buyer D
PRJ1811,Hotel Renovation C,Larissa,Orion Build Partners,Gamma Electrical Systems,Plumbing,Valves,PO200025,2023-10-04,2023-09-30,2023-11-22,411,211.82,87058.02,88173.87,-1115.85,-1.27,EUR,53,Low,Buyer B
PRJ1218,Metro Station Upgrade E,Volos,Helios Civil Works,Alpha Cement Supplies,Logistics,Material transport,PO200026,2023-06-10,2023-06-02,2023-07-22,200,2164.8,432960.0,203586.66,229373.34,112.67,EUR,50,High,Buyer C
PRJ1805,Commercial Complex B,Athens,Orion Build Partners,Nordic Timber Solutions,Logistics,Crane service,PO200027,2024-04-04,2024-03-22,2024-06-07,460,430.14,197864.4,215083.63,-17219.23,-8.01,EUR,77,Medium,Buyer A
PRJ1613,Metro Station Upgrade E,Thessaloniki,Orion Build Partners,Atlas Safety Equipment,Timber,Plywood sheets,PO200028,2023-11-10,2023-10-25,2024-01-04,296,232.54,68831.84,61043.05,7788.79,12.76,EUR,71,High,Buyer A
PRJ1309,Residential Tower A,Thessaloniki,Orion Build Partners,Alpha Cement Supplies,Concrete,Ready-mix concrete,PO200029,2023-01-22,2022-12-29,2023-03-30,55,158.93,8741.15,3829.34,4911.81,128.27,EUR,91,High,Buyer B
PRJ1475,Commercial Complex B,Patras,Apex Construction Group,Helios Logistics Services,Concrete,Concrete additives,PO200030,2023-09-10,2023-08-19,2023-10-19,25,171.81,4295.25,4251.05,44.2,1.04,EUR,61,Low,Buyer C
PRJ1161,Residential Tower A,Larissa,Atlas Engineering Contractors,Atlas Safety Equipment,Plumbing,Valves,PO200031,2024-07-14,2024-06-20,2024-09-07,152,192.07,29194.64,25112.17,4082.47,16.26,EUR,79,High,Buyer D
PRJ1342,Industrial Warehouse D,Larissa,Apex Construction Group,Nordic Timber Solutions,Steel,Rebar steel,PO200032,2024-04-19,2024-03-31,2024-07-17,455,1267.59,576753.45,586668.77,-9915.32,-1.69,EUR,108,High,Buyer D
PRJ1429,Metro Station Upgrade E,Volos,Atlas Engineering Contractors,Beta Steel Trading,HVAC,Air handling units,PO200033,2023-02-28,2023-01-30,2023-04-24,440,3214.8,1414512.0,1283254.22,131257.78,10.23,EUR,84,Medium,Buyer B
PRJ1947,Industrial Warehouse D,Athens,Delta Infrastructure Services,Nordic Timber Solutions,Electrical,Industrial cables,PO200034,2024-05-25,2024-05-05,2024-07-15,194,430.41,83499.54,83424.69,74.85,0.09,EUR,71,Medium,Buyer C
PRJ1476,Commercial Complex B,Larissa,Apex Construction Group,Alpha Cement Supplies,Logistics,Site delivery service,PO200035,2024-11-12,2024-10-31,2024-11-26,467,1498.39,699748.13,600115.13,99633.0,16.6,EUR,26,High,Buyer C
PRJ1604,Commercial Complex B,Patras,Atlas Engineering Contractors,Helios Logistics Services,Logistics,Material transport,PO200036,2024-04-20,2024-04-10,2024-06-22,54,880.95,47571.3,53100.9,-5529.6,-10.41,EUR,73,Medium,Buyer B
PRJ1085,Hotel Renovation C,Larissa,Atlas Engineering Contractors,Delta Plumbing Materials,HVAC,Air handling units,PO200037,2024-11-30,2024-11-05,2024-12-18,432,862.25,372492.0,398853.77,-26361.77,-6.61,EUR,43,Low,Buyer D
PRJ1707,Industrial Warehouse D,Heraklion,Delta Infrastructure Services,Omega HVAC Equipment,Steel,Steel beams,PO200038,2023-07-09,2023-07-06,2023-07-15,303,886.52,268615.56,294814.23,-26198.67,-8.89,EUR,9,Low,Buyer D
PRJ1280,Residential Tower A,Thessaloniki,Atlas Engineering Contractors,Atlas Safety Equipment,Timber,Plywood sheets,PO200039,2024-11-17,2024-11-13,2024-11-30,53,111.55,5912.15,6379.69,-467.54,-7.33,EUR,17,Low,Buyer D
PRJ1281,Residential Tower A,Volos,Atlas Engineering Contractors,Atlas Safety Equipment,Logistics,Crane service,PO200040,2024-07-16,2024-06-26,2024-10-09,115,1259.98,144897.7,153541.39,-8643.69,-5.63,EUR,105,High,Buyer B
PRJ1934,Commercial Complex B,Athens,Delta Infrastructure Services,Alpha Cement Supplies,HVAC,Ventilation ducts,PO200041,2024-07-20,2024-07-07,2024-08-30,326,3409.66,1111549.16,1137064.71,-25515.55,-2.24,EUR,54,Low,Buyer B
PRJ1749,Residential Tower A,Larissa,Helios Civil Works,Omega HVAC Equipment,Plumbing,PVC pipes,PO200042,2023-09-01,2023-08-03,2023-11-29,313,220.13,68900.69,28976.74,39923.95,137.78,EUR,118,High,Buyer B
PRJ1819,Metro Station Upgrade E,Heraklion,Atlas Engineering Contractors,Beta Steel Trading,HVAC,Air handling units,PO200043,2024-05-19,2024-04-21,2024-07-24,46,673.56,30983.76,33196.31,-2212.55,-6.67,EUR,94,Medium,Buyer A
PRJ1098,Office Building F,Volos,Delta Infrastructure Services,Helios Logistics Services,Electrical,Cable trays,PO200044,2023-05-11,2023-04-28,2023-06-24,164,527.17,86455.88,88178.2,-1722.32,-1.95,EUR,57,Low,Buyer B
PRJ1482,Residential Tower A,Thessaloniki,Helios Civil Works,Omega HVAC Equipment,Plumbing,PVC pipes,PO200045,2024-04-29,2024-04-08,2024-05-23,227,284.58,64599.66,73422.09,-8822.43,-12.02,EUR,45,Low,Buyer A
PRJ1803,Hotel Renovation C,Thessaloniki,Delta Infrastructure Services,Delta Plumbing Materials,Logistics,Site delivery service,PO200046,2024-10-08,2024-10-05,2024-10-29,217,3628.9,787471.3,353612.0,433859.3,122.69,EUR,24,High,Buyer B
PRJ1330,Residential Tower A,Athens,Orion Build Partners,Atlas Safety Equipment,Timber,Plywood sheets,PO200047,2023-01-21,2022-12-31,2023-02-06,101,50.52,5102.52,4546.58,555.94,12.23,EUR,37,High,Buyer D
PRJ1466,Residential Tower A,Heraklion,Atlas Engineering Contractors,Beta Steel Trading,Safety Equipment,Helmets,PO200048,2023-06-16,2023-05-28,2023-07-11,215,91.36,19642.4,22474.3,-2831.9,-12.6,EUR,44,Low,Buyer A
PRJ1250,Office Building F,Larissa,Apex Construction Group,Gamma Electrical Systems,Steel,Steel beams,PO200049,2023-10-01,2023-09-19,2023-11-21,16,1167.65,18682.4,19063.21,-380.81,-2.0,EUR,63,Low,Buyer C
PRJ1526,Hotel Renovation C,Heraklion,Orion Build Partners,Omega HVAC Equipment,Safety Equipment,Safety barriers,PO200050,2024-01-23,2024-01-01,2024-04-18,423,61.17,25874.91,26996.95,-1122.04,-4.16,EUR,108,High,Buyer C
PRJ1497,Industrial Warehouse D,Larissa,Apex Construction Group,Omega HVAC Equipment,HVAC,Ventilation ducts,PO200051,2024-08-23,2024-08-13,2024-10-09,474,2802.25,1328266.5,1254663.4,73603.1,5.87,EUR,57,Medium,Buyer A
PRJ1251,Metro Station Upgrade E,Larissa,Helios Civil Works,Helios Logistics Services,Logistics,Site delivery service,PO200052,2023-11-12,2023-10-29,2023-12-28,382,1001.45,382553.9,438828.49,-56274.59,-12.82,EUR,60,Low,Buyer C
PRJ1697,Industrial Warehouse D,Athens,Helios Civil Works,Atlas Safety Equipment,Safety Equipment,Helmets,PO200053,2023-01-14,2022-12-23,2023-03-05,29,93.64,2715.56,2699.17,16.39,0.61,EUR,72,Medium,Buyer C
PRJ1670,Commercial Complex B,Heraklion,Helios Civil Works,Atlas Safety Equipment,Safety Equipment,Helmets,PO200054,2023-08-30,2023-08-23,2023-11-26,65,33.15,2154.75,2060.77,93.98,4.56,EUR,95,Medium,Buyer A
PRJ1964,Industrial Warehouse D,Patras,Helios Civil Works,Omega HVAC Equipment,Logistics,Material transport,PO200055,2023-12-12,2023-11-19,2024-02-19,494,290.15,143334.1,138674.17,4659.93,3.36,EUR,92,Medium,Buyer A
PRJ1226,Residential Tower A,Heraklion,Orion Build Partners,Gamma Electrical Systems,Electrical,Cable trays,PO200056,2024-07-18,2024-07-09,2024-09-30,440,691.26,304154.4,340992.73,-36838.33,-10.8,EUR,83,Medium,Buyer C
PRJ1888,Office Building F,Larissa,Delta Infrastructure Services,Atlas Safety Equipment,Timber,Plywood sheets,PO200057,2023-12-06,2023-11-23,2024-02-22,226,117.55,26566.3,30210.69,-3644.39,-12.06,EUR,91,Medium,Buyer C
PRJ1690,Commercial Complex B,Volos,Apex Construction Group,Helios Logistics Services,Concrete,Concrete additives,PO200058,2023-04-02,2023-03-28,2023-04-15,20,181.47,3629.4,3516.43,112.97,3.21,EUR,18,Low,Buyer D
PRJ1610,Hotel Renovation C,Athens,Atlas Engineering Contractors,Gamma Electrical Systems,Electrical,Cable trays,PO200059,2024-01-02,2023-12-07,2024-01-19,381,427.86,163014.66,166931.23,-3916.57,-2.35,EUR,43,Low,Buyer A
PRJ1395,Hotel Renovation C,Thessaloniki,Orion Build Partners,Nordic Timber Solutions,Electrical,Electrical panels,PO200060,2024-03-30,2024-03-26,2024-04-28,332,77.38,25690.16,29016.44,-3326.28,-11.46,EUR,33,Low,Buyer D
PRJ1796,Metro Station Upgrade E,Larissa,Apex Construction Group,Beta Steel Trading,Electrical,Cable trays,PO200061,2024-03-03,2024-02-14,2024-03-12,90,442.38,39814.2,35149.59,4664.61,13.27,EUR,27,High,Buyer D
PRJ1289,Office Building F,Patras,Orion Build Partners,Alpha Cement Supplies,Timber,Plywood sheets,PO200062,2024-05-23,2024-05-18,2024-07-24,56,191.38,10717.28,11889.19,-1171.91,-9.86,EUR,67,Medium,Buyer C
PRJ1667,Office Building F,Heraklion,Delta Infrastructure Services,Gamma Electrical Systems,Logistics,Material transport,PO200063,2023-02-04,2023-01-20,2023-03-21,363,639.19,232025.97,204588.95,27437.02,13.41,EUR,60,High,Buyer B
PRJ1927,Commercial Complex B,Heraklion,Helios Civil Works,Atlas Safety Equipment,Concrete,Ready-mix concrete,PO200064,2023-07-25,2023-06-30,2023-08-29,426,59.67,25419.42,27276.37,-1856.95,-6.81,EUR,60,Low,Buyer A
PRJ1360,Commercial Complex B,Heraklion,Delta Infrastructure Services,Gamma Electrical Systems,Plumbing,Valves,PO200065,2023-03-22,2023-03-18,2023-05-04,224,44.06,9869.44,10046.63,-177.19,-1.76,EUR,47,Low,Buyer C
PRJ1222,Metro Station Upgrade E,Larissa,Orion Build Partners,Delta Plumbing Materials,Timber,Formwork timber,PO200066,2024-07-15,2024-07-03,2024-09-28,233,260.47,60689.51,63104.14,-2414.63,-3.83,EUR,87,Medium,Buyer D
PRJ1474,Hotel Renovation C,Thessaloniki,Helios Civil Works,Atlas Safety Equipment,Electrical,Industrial cables,PO200067,2024-01-23,2024-01-04,2024-03-31,12,100.47,1205.64,1149.9,55.74,4.85,EUR,87,Medium,Buyer A
PRJ1033,Office Building F,Patras,Atlas Engineering Contractors,Beta Steel Trading,Plumbing,Water fittings,PO200068,2023-01-02,2022-12-04,2023-02-11,227,187.23,42501.21,36962.79,5538.42,14.98,EUR,69,High,Buyer B
PRJ1271,Metro Station Upgrade E,Larissa,Atlas Engineering Contractors,Delta Plumbing Materials,Steel,Steel beams,PO200069,2024-01-25,2024-01-21,2024-03-15,285,1188.94,338847.9,374854.87,-36006.97,-9.61,EUR,54,Low,Buyer C
PRJ1604,Metro Station Upgrade E,Larissa,Delta Infrastructure Services,Gamma Electrical Systems,Timber,Formwork timber,PO200070,2024-07-19,2024-06-25,2024-10-15,459,103.31,47419.29,42455.31,4963.98,11.69,EUR,112,High,Buyer C
PRJ1163,Residential Tower A,Athens,Orion Build Partners,Beta Steel Trading,Concrete,Concrete additives,PO200071,2023-04-16,2023-04-11,2023-06-28,257,87.06,22374.42,24024.56,-1650.14,-6.87,EUR,78,Medium,Buyer D
PRJ1591,Hotel Renovation C,Volos,Helios Civil Works,Delta Plumbing Materials,Logistics,Site delivery service,PO200072,2024-04-21,2024-04-11,2024-05-22,60,595.56,35733.6,38698.74,-2965.14,-7.66,EUR,41,Low,Buyer C
PRJ1527,Residential Tower A,Volos,Apex Construction Group,Atlas Safety Equipment,HVAC,Air handling units,PO200073,2024-12-03,2024-11-19,2025-02-09,181,3841.59,695327.79,629715.03,65612.76,10.42,EUR,82,Medium,Buyer B
PRJ1721,Metro Station Upgrade E,Thessaloniki,Helios Civil Works,Atlas Safety Equipment,Logistics,Site delivery service,PO200074,2024-02-06,2024-01-13,2024-04-10,117,1343.77,157221.09,180066.17,-22845.08,-12.69,EUR,88,Medium,Buyer C
PRJ1779,Office Building F,Patras,Apex Construction Group,Alpha Cement Supplies,Timber,Wood panels,PO200075,2024-12-30,2024-12-17,2025-02-04,301,232.95,70117.95,78696.57,-8578.62,-10.9,EUR,49,Low,Buyer B
PRJ1928,Commercial Complex B,Heraklion,Apex Construction Group,Beta Steel Trading,Logistics,Material transport,PO200076,2024-07-09,2024-06-21,2024-09-30,310,1467.68,454980.8,463122.5,-8141.7,-1.76,EUR,101,High,Buyer A
PRJ1871,Commercial Complex B,Volos,Helios Civil Works,Beta Steel Trading,Concrete,Concrete additives,PO200077,2023-06-11,2023-06-08,2023-08-31,77,52.34,4030.18,3586.11,444.07,12.38,EUR,84,High,Buyer B
PRJ1774,Residential Tower A,Athens,Helios Civil Works,Delta Plumbing Materials,Steel,Steel beams,PO200078,2023-07-21,2023-07-02,2023-09-07,360,910.9,327924.0,281842.76,46081.24,16.35,EUR,67,High,Buyer D
PRJ1390,Commercial Complex B,Volos,Helios Civil Works,Nordic Timber Solutions,Timber,Plywood sheets,PO200079,2023-09-27,2023-09-10,2023-12-24,251,143.9,36118.9,36693.21,-574.31,-1.57,EUR,105,High,Buyer C
PRJ1909,Residential Tower A,Larissa,Atlas Engineering Contractors,Beta Steel Trading,Concrete,Concrete additives,PO200080,2023-09-28,2023-09-16,2023-12-01,14,52.52,735.28,679.5,55.78,8.21,EUR,76,Medium,Buyer C
PRJ1594,Office Building F,Thessaloniki,Atlas Engineering Contractors,Atlas Safety Equipment,Timber,Wood panels,PO200081,2024-03-31,2024-03-21,2024-05-19,221,221.92,49044.32,49017.77,26.55,0.05,EUR,59,Low,Buyer D
PRJ1959,Residential Tower A,Heraklion,Apex Construction Group,Atlas Safety Equipment,Logistics,Material transport,PO200082,2024-04-06,2024-04-01,2024-06-08,412,613.59,252799.08,220354.73,32444.35,14.72,EUR,68,High,Buyer C
PRJ1956,Commercial Complex B,Athens,Atlas Engineering Contractors,Helios Logistics Services,Steel,Rebar steel,PO200083,2024-12-27,2024-12-01,2025-03-02,404,2198.11,888036.44,436072.79,451963.65,103.64,EUR,91,High,Buyer D
PRJ1186,Office Building F,Larissa,Orion Build Partners,Gamma Electrical Systems,Steel,Rebar steel,PO200084,2023-09-09,2023-08-23,2023-11-18,418,1067.76,446323.68,512218.91,-65895.23,-12.86,EUR,87,Medium,Buyer B
PRJ1599,Commercial Complex B,Heraklion,Helios Civil Works,Nordic Timber Solutions,Logistics,Material transport,PO200085,2024-12-02,2024-11-15,2024-12-27,225,502.82,113134.5,127017.21,-13882.71,-10.93,EUR,42,Low,Buyer A
PRJ1084,Commercial Complex B,Volos,Apex Construction Group,Gamma Electrical Systems,Timber,Wood panels,PO200086,2023-10-23,2023-09-29,2023-12-07,316,125.72,39727.52,40674.01,-946.49,-2.33,EUR,69,Medium,Buyer A
PRJ1676,Metro Station Upgrade E,Patras,Helios Civil Works,Gamma Electrical Systems,Plumbing,Valves,PO200087,2024-12-25,2024-12-20,2025-03-05,229,25.52,5844.08,6017.15,-173.07,-2.88,EUR,75,Medium,Buyer B
PRJ1683,Industrial Warehouse D,Athens,Apex Construction Group,Helios Logistics Services,Logistics,Crane service,PO200088,2024-12-20,2024-12-08,2025-03-08,332,1878.19,623559.08,576551.63,47007.45,8.15,EUR,90,Medium,Buyer D
PRJ1824,Industrial Warehouse D,Volos,Orion Build Partners,Gamma Electrical Systems,Plumbing,PVC pipes,PO200089,2023-12-04,2023-11-17,2024-01-14,485,182.98,88745.3,94213.4,-5468.1,-5.8,EUR,58,Low,Buyer D
PRJ1119,Hotel Renovation C,Volos,Delta Infrastructure Services,Omega HVAC Equipment,Steel,Metal frames,PO200090,2023-02-22,2023-02-18,2023-05-15,457,789.91,360988.87,311101.31,49887.56,16.04,EUR,86,High,Buyer A
PRJ1811,Office Building F,Thessaloniki,Apex Construction Group,Beta Steel Trading,Concrete,Ready-mix concrete,PO200091,2023-08-05,2023-07-20,2023-09-29,12,64.62,775.44,883.64,-108.2,-12.24,EUR,71,Medium,Buyer A
PRJ1384,Office Building F,Larissa,Orion Build Partners,Helios Logistics Services,Safety Equipment,Safety barriers,PO200092,2023-07-07,2023-06-20,2023-09-05,427,63.79,27238.33,24293.74,2944.59,12.12,EUR,77,High,Buyer B
PRJ1517,Office Building F,Thessaloniki,Apex Construction Group,Nordic Timber Solutions,Plumbing,Water fittings,PO200093,2024-01-15,2023-12-26,2024-01-27,341,109.82,37448.62,16735.46,20713.16,123.77,EUR,32,High,Buyer B
PRJ1588,Hotel Renovation C,Athens,Orion Build Partners,Alpha Cement Supplies,Electrical,Cable trays,PO200094,2024-05-07,2024-04-17,2024-07-24,466,506.98,236252.68,241257.2,-5004.52,-2.07,EUR,98,High,Buyer C
PRJ1962,Commercial Complex B,Volos,Apex Construction Group,Alpha Cement Supplies,Safety Equipment,Helmets,PO200095,2023-02-10,2023-01-25,2023-05-05,53,82.59,4377.27,4178.42,198.85,4.76,EUR,100,High,Buyer A
PRJ1381,Office Building F,Volos,Orion Build Partners,Atlas Safety Equipment,Logistics,Site delivery service,PO200096,2023-06-06,2023-05-26,2023-06-23,245,1267.73,310593.85,345863.23,-35269.38,-10.2,EUR,28,Low,Buyer B
PRJ1822,Residential Tower A,Larissa,Apex Construction Group,Delta Plumbing Materials,Steel,Steel beams,PO200097,2023-01-15,2022-12-31,2023-04-11,489,589.7,288363.3,277607.83,10755.47,3.87,EUR,101,High,Buyer C
PRJ1291,Industrial Warehouse D,Volos,Helios Civil Works,Gamma Electrical Systems,Safety Equipment,Protective gloves,PO200098,2023-03-06,2023-02-13,2023-03-31,316,69.22,21873.52,22173.32,-299.8,-1.35,EUR,46,Low,Buyer D
PRJ1816,Commercial Complex B,Volos,Orion Build Partners,Omega HVAC Equipment,Timber,Wood panels,PO200099,2024-06-04,2024-05-23,2024-08-25,450,142.13,63958.5,70929.98,-6971.48,-9.83,EUR,94,Medium,Buyer B
PRJ1043,Office Building F,Volos,Helios Civil Works,Delta Plumbing Materials,Concrete,Concrete additives,PO200100,2023-12-10,2023-12-03,2023-12-26,482,118.47,57102.54,56703.32,399.22,0.7,EUR,23,Low,Buyer C
PRJ1793,Industrial Warehouse D,Patras,Atlas Engineering Contractors,Nordic Timber Solutions,HVAC,Air handling units,PO200101,2023-05-09,2023-04-14,2023-06-03,107,538.07,57573.49,64448.29,-6874.8,-10.67,EUR,50,Low,Buyer A
PRJ1539,Metro Station Upgrade E,Heraklion,Atlas Engineering Contractors,Helios Logistics Services,Timber,Formwork timber,PO200102,2024-10-09,2024-10-05,2024-11-01,334,147.55,49281.7,46101.15,3180.55,6.9,EUR,27,Medium,Buyer D
PRJ1263,Industrial Warehouse D,Thessaloniki,Delta Infrastructure Services,Nordic Timber Solutions,Timber,Plywood sheets,PO200103,2024-04-16,2024-04-12,2024-05-08,433,272.07,117806.31,118600.83,-794.52,-0.67,EUR,26,Low,Buyer C
PRJ1385,Industrial Warehouse D,Larissa,Helios Civil Works,Nordic Timber Solutions,Logistics,Site delivery service,PO200104,2023-03-04,2023-02-20,2023-04-19,440,1961.69,863143.6,942378.25,-79234.65,-8.41,EUR,58,Low,Buyer A
PRJ1010,Commercial Complex B,Athens,Delta Infrastructure Services,Beta Steel Trading,Safety Equipment,Helmets,PO200105,2023-05-19,2023-04-25,2023-06-14,277,108.48,30048.96,27453.13,2595.83,9.46,EUR,50,Medium,Buyer B
PRJ1857,Commercial Complex B,Patras,Orion Build Partners,Beta Steel Trading,Electrical,Cable trays,PO200106,2024-05-13,2024-05-07,2024-06-23,50,589.3,29465.0,30980.31,-1515.31,-4.89,EUR,47,Low,Buyer C
PRJ1977,Office Building F,Larissa,Atlas Engineering Contractors,Delta Plumbing Materials,Steel,Metal frames,PO200107,2024-08-15,2024-07-29,2024-10-27,49,1101.44,53970.56,49384.25,4586.31,9.29,EUR,90,Medium,Buyer D
PRJ1320,Hotel Renovation C,Larissa,Helios Civil Works,Gamma Electrical Systems,Electrical,Electrical panels,PO200108,2024-01-27,2024-01-16,2024-02-10,78,474.89,37041.42,33060.66,3980.76,12.04,EUR,25,High,Buyer B
PRJ1580,Commercial Complex B,Volos,Helios Civil Works,Helios Logistics Services,HVAC,HVAC filters,PO200109,2024-11-05,2024-10-25,2024-12-18,241,598.42,144219.22,158008.32,-13789.1,-8.73,EUR,54,Low,Buyer A
PRJ1891,Office Building F,Athens,Orion Build Partners,Omega HVAC Equipment,Timber,Wood panels,PO200110,2024-02-23,2024-02-13,2024-04-03,229,236.72,54208.88,51336.43,2872.45,5.6,EUR,50,Medium,Buyer D
PRJ1562,Hotel Renovation C,Volos,Orion Build Partners,Omega HVAC Equipment,Steel,Steel beams,PO200111,2023-10-16,2023-10-09,2023-12-19,428,537.08,229870.24,256080.9,-26210.66,-10.24,EUR,71,Medium,Buyer C
